Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val
prerank,Cytoplasmic Translation (GO:0002181),0.7432051096162626,1.8357899683242933,0.0,0.002999981880064145,0.003
prerank,Response To Epidermal Growth Factor (GO:0070849),0.7597755975328294,1.7401535461652622,0.0,0.003461517553920166,0.043
prerank,Positive Regulation Of Leukocyte Proliferation (GO:0070665),0.8051987278448192,1.7412211671829663,0.0,0.0034999788600748355,0.04
prerank,Fc Receptor Signaling Pathway (GO:0038093),0.7700109501832504,1.7366498540575763,0.0,0.003499978860074836,0.047
prerank,Negative Regulation Of Synaptic Transmission (GO:0050805),0.8038191934084474,1.7419257632620886,0.0,0.003818158756445275,0.04
prerank,Fc-epsilon Receptor Signaling Pathway (GO:0038095),0.7816884344477932,1.7302583260470663,0.0,0.003999975840085526,0.059
prerank,ERBB Signaling Pathway (GO:0038127),0.7238293099593285,1.7425277299459951,0.0,0.004099975236087665,0.039
prerank,Activin Receptor Signaling Pathway (GO:0032924),0.8252006422679239,1.7614913149708131,0.0,0.0041666415000890895,0.023
prerank,Regulation Of Cellular Component Biogenesis (GO:0044087),0.7378943060824988,1.7306953837263024,0.0,0.004199974632089803,0.059
prerank,Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),0.8138868059557088,1.743931455462596,0.0,0.0042221967200902774,0.036
prerank,Signal Release From Synapse (GO:0099643),0.7279191101256879,1.7153731831195462,0.0,0.0042727014655459025,0.084
prerank,Positive Regulation Of Dephosphorylation (GO:0035306),0.7507636647506961,1.7162825163792739,0.0,0.004285688400091635,0.081
prerank,Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002861),0.7946664650611749,1.7204741725637251,0.0,0.004444417600095029,0.074
prerank,Response To BMP (GO:0071772),0.7674980251377861,1.7238103195074463,0.0,0.004470561233036765,0.071
prerank,Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173),0.7215593129362476,1.7164628937868174,0.0,0.004499972820096216,0.081
prerank,Regulation Of Early Endosome To Late Endosome Transport (GO:2000641),0.7878518071903573,1.7080100837848249,0.0,0.004499972820096216,0.096
