Gene_ID,Module,Intramodular_Connectivity,Extramodular_Connectivity,Total_Connectivity,Is_Hub
Zm00001d003184,black,9.46509819571768,2.25278004974955,12.7178782454672,TRUE
Zm00001d003583,black,8.84889891811438,1.56201501830068,11.4109139364151,TRUE
Zm00001d003187,black,8.80212501920193,3.92366607004922,13.7257910892512,TRUE
Zm00001d003563,black,8.38840531713706,1.41556015860544,10.8039654757425,TRUE
Zm00001d004729,black,8.29083930832346,1.69704114367328,10.9878804519967,TRUE
Zm00001d003807,black,8.01736872074377,2.40536658983607,11.4227353105798,TRUE
Zm00001d003510,black,7.78642019010746,1.17157943815309,9.95799962826055,TRUE
Zm00001d004725,black,6.42938808624453,1.9141576355513,9.34354572179582,FALSE
Zm00001d004721,black,6.33304557010357,2.79558584669712,10.1286314168007,FALSE
Zm00001d002454,black,6.069242804442,3.98081313693412,11.0500559413761,FALSE
Zm00001d002548,black,6.06646542538185,4.64375299421465,11.7102184195965,FALSE
Zm00001d002452,black,5.56632379189628,0.87931784251966,7.44564163441594,FALSE
Zm00001d003186,black,5.25988994282924,1.66055653808232,7.92044648091155,FALSE
Zm00001d002830,black,4.82567549351583,2.48948315811025,8.31515865162608,FALSE
Zm00001d004624,black,4.47244973507622,2.48124050420085,7.95369023927707,FALSE
Zm00001d003763,black,4.23700857430596,1.00762819788126,6.24463677218721,FALSE
Zm00001d003317,black,4.04881308383482,0.493740659063903,5.54255374289873,FALSE
Zm00001d003436,black,3.84961624336734,1.44103054280112,6.29064678616846,FALSE
Zm00001d004440,black,3.74515011720269,1.60784318414553,6.35299330134822,FALSE
Zm00001d004423,black,3.63787512625644,0.993534462684032,5.63140958894048,FALSE
Zm00001d002850,black,3.53754092186716,1.37503046288531,5.91257138475248,FALSE
Zm00001d003451,black,3.42572740001119,1.9012290709578,6.32695647096899,FALSE
Zm00001d003716,black,3.29381625627616,3.08172431728022,7.37554057355638,FALSE
Zm00001d002146,black,2.80015404009707,0.284406590429954,4.08456063052703,FALSE
Zm00001d004125,black,2.09243303277746,4.00737158030131,7.09980461307877,FALSE
Zm00001d003598,black,2.02170837665073,3.90098867424179,6.92269705089252,FALSE
Zm00001d001857,black,1.97336098888094,1.45311369059786,4.4264746794788,FALSE
Zm00001d003800,black,1.88692590515663,0.917683764493221,3.80460966964985,FALSE
Zm00001d004231,black,1.81487156094876,1.07447926296645,3.88935082391521,FALSE
Zm00001d003009,black,1.48922441427244,2.58852922516616,5.07775363943859,FALSE
Zm00001d004485,black,1.39433890686451,0.953924584910312,3.34826349177483,FALSE
Zm00001d004546,black,1.34234335759444,3.45228236666711,5.79462572426155,FALSE
Zm00001d002556,black,1.32721097297618,1.14250675978594,3.46971773276212,FALSE
Zm00001d003068,black,1.29884123028591,1.84554014014098,4.14438137042689,FALSE
