index,eigenvalue
0,-2.2376413297590245e-14
1,3.580372945739186
2,8.971658961997978
3,28.99149661184461
4,30.85423410834177
5,32.02656054800043
6,32.26760482767465
7,32.622381058288155
8,32.77190250439935
9,33.11390092331217
10,33.618070337320624
11,33.66468786594106
12,33.90578625597604
13,33.91759727013225
14,34.14715715846218
15,34.33790249143867
16,34.48910692146567
17,34.50153326573366
18,34.56733429698215
19,34.767283598369396
20,34.80784893408461
21,34.83621359875533
22,34.985788305999606
23,35.04137324417903
24,35.09152649642787
25,35.14571725835986
26,35.20015094800084
27,35.27084885005751
28,35.32602283063276
29,35.33839391821635
30,35.463836427627
31,35.54225303284288
32,35.54931479900123
33,35.67806182890617
34,35.68279423447758
35,35.72346313713971
36,35.93052037199797
37,35.94918579395157
38,35.9843477533372
39,36.05603534326797
40,36.09188764052966
41,36.207191558068224
42,36.24147191796693
43,36.251010907548704
44,36.37023109767767
45,36.37468454884011
46,36.422473956958385
47,36.55964930484969
48,36.563200309388606
49,36.614415873286994
50,36.676896838364335
51,36.75377489023733
52,36.779924924579106
53,36.88155784754249
54,36.94321868828451
55,36.97536338855228
56,37.060748449848084
57,37.236087280848665
58,37.246383020901476
59,37.39883699362788
60,37.40403875607127
61,37.428735097381136
62,37.44733350621886
63,37.4754940432584
64,37.50126766141201
65,37.601515244563636
66,37.729927888308076
67,37.74562250372952
68,37.809375170189895
69,37.81868242910424
70,37.85124752353886
71,37.886241495927806
72,37.95091502290135
73,37.96942265773177
74,38.025356967561365
75,38.15661549403024
76,38.18306007802732
77,38.264621208469315
78,38.3317026875359
79,38.342215721956585
80,38.37321437798519
81,38.4883103104665
82,38.512234363365046
83,38.52106072741414
84,38.574780627850984
85,38.59111433892709
86,38.60395617907769
87,38.67817249297242
88,38.69962124806077
89,38.72620566082233
90,38.73093232468298
91,38.841227277343165
92,38.87626683318541
93,38.91501331566237
94,38.978637755052546
95,38.9849509540435
96,39.0428558700682
97,39.18850267515006
98,39.20542002111005
99,39.41877127287028
100,39.595533873976144
101,39.917735186100096
102,40.161385121773414
103,40.22669828020337
104,40.363988149678384
105,40.456857558328835
106,40.49745728509377
107,40.60061944732002
108,40.6223237656078
109,40.80845403380936
110,41.043898120352885
111,41.09643111363744
112,41.205426766816174
113,41.30642220700762
114,41.4163904683488
115,41.60989852333494
116,41.79242070125392
117,41.871764365188554
118,42.104143465199314
119,42.4921670777467
