Taxon,Coefficient
Taxon_098,0.22872448576962284
Taxon_346,0.22165934778905463
Taxon_145,-0.1999535627338616
Taxon_130,-0.188014069226046
Taxon_174,-0.1872161691521865
Taxon_168,-0.1854555811716437
Taxon_090,-0.16337997847474992
Taxon_057,-0.16001057724352002
Taxon_471,0.15548157507041638
Taxon_414,0.15283698755925254
Taxon_475,-0.14304886759181756
Taxon_450,-0.13103542907696647
Taxon_367,0.12995485861093425
Taxon_138,0.11924887894662266
Taxon_078,-0.11646626378025603
Taxon_297,-0.11435582441335058
Taxon_084,-0.1128107238506562
Taxon_040,0.11271171701874073
Taxon_119,-0.11259575745985917
Taxon_235,0.11136780442696749
Taxon_088,-0.11068766714550855
Taxon_322,0.10501334903381815
Taxon_374,0.10390232526815787
Taxon_271,-0.10232351898179864
Taxon_062,-0.1012738213830248
Taxon_444,0.10122803947359979
Taxon_218,-0.10103328353531772
Taxon_106,0.09835868483205168
Taxon_028,-0.09781237763578292
Taxon_476,0.09620253644039807
Taxon_409,-0.09558954262588344
Taxon_369,-0.09406638616873816
Taxon_080,-0.09327951557276531
Taxon_083,-0.09064917917878193
Taxon_272,0.09031893621833818
Taxon_438,0.08986779564313718
Taxon_423,0.08965560825678358
Taxon_246,0.08887663802599426
Taxon_048,0.08861539944343985
Taxon_249,-0.08850690767613359
Taxon_147,-0.08765984361229816
Taxon_150,0.08681551374714201
Taxon_431,0.08528305189399302
Taxon_466,-0.08444174889623184
Taxon_231,0.08410408420164088
Taxon_134,-0.0830821743697622
Taxon_460,-0.0795367796050328
Taxon_205,-0.07574032203631686
Taxon_081,-0.07480921117668549
Taxon_465,-0.07311164458897182
Taxon_039,0.07273914184367121
Taxon_052,0.06904326783606236
Taxon_251,0.06715446131340314
Taxon_257,-0.06503773145619367
Taxon_287,-0.063215533324728
Taxon_335,0.06083490507610332
Taxon_144,0.059498644371130185
Taxon_384,-0.059257194918002104
Taxon_158,-0.05657962247268049
Taxon_046,0.049884013610068174
Taxon_318,0.045406811831174815
Taxon_464,0.04352015639712302
Taxon_027,0.043347577351772484
Taxon_453,-0.04102233001834202
Taxon_132,-0.04088278481050108
Taxon_160,-0.04079366502039328
Taxon_472,0.04021655959512877
Taxon_019,-0.03641021782356674
Taxon_280,-0.03631450144823471
Taxon_232,0.034804073695448086
Taxon_120,0.03379701672740116
Taxon_151,-0.032412382429018644
Taxon_333,0.03169150879980269
Taxon_154,0.02956952127802926
Taxon_229,0.029542725894236378
Taxon_264,-0.029057384934518433
Taxon_187,-0.028941702990458028
Taxon_021,-0.025046510226361642
Taxon_320,0.023271539172556945
Taxon_233,-0.02256147289124607
Taxon_256,0.021751230239692443
Taxon_091,0.019252282745794106
Taxon_137,0.01909039254157805
Taxon_397,0.016318433062552373
Taxon_446,0.016088392928471824
Taxon_413,-0.014395642578079784
Taxon_129,-0.01347017168874833
Taxon_099,-0.011383197440622272
Taxon_474,0.011160849555653855
Taxon_133,-0.01081561585208803
Taxon_224,-0.010699284298507859
Taxon_316,-0.009864319194049297
Taxon_066,0.009446304177792847
Taxon_015,-0.009137696389722475
Taxon_219,0.008033525128395577
Taxon_054,0.00661361033372655
Taxon_385,-0.003913773103827344
Taxon_226,-0.0030033412097228876
Taxon_443,-0.0019290340781804032
Taxon_309,-0.0014818075227055376
Taxon_114,-0.0012356671148269114
Taxon_388,-0.0011123946815673948
Taxon_104,-0.0010457076048266717
Taxon_303,-0.0009757288644449919
Taxon_391,-0.0004402889431635724
Taxon_097,2.541416276927471e-05
