index,eigenvalue
0,-1.7345980128296881e-16
1,0.09868069188260895
2,0.23457124576585098
3,0.9608817865359254
4,0.9621217296633763
5,0.9668202524263845
6,0.9718474660423395
7,0.9727309287349116
8,0.9740822895429121
9,0.9745280249422642
10,0.9770130454831328
11,0.9781489689442986
12,0.978820064616571
13,0.980424516135785
14,0.9809875263271193
15,0.9817928895838571
16,0.9833386474947053
17,0.9847549150247223
18,0.9856321669825229
19,0.9860176084967127
20,0.9867900626209708
21,0.9871978772585814
22,0.9882060038443825
23,0.9886529093345433
24,0.9897035525766898
25,0.99081037670158
26,0.991070018899597
27,0.9918817932848804
28,0.9927325345027762
29,0.9931075653549395
30,0.9933905511049608
31,0.9941948605144971
32,0.9963284134024389
33,0.9976370745861075
34,0.9980534622944646
35,0.9984727471440474
36,0.9984953637409613
37,0.9987132000064803
38,0.9987801900786271
39,0.9988030286474213
40,0.9988568516021282
41,0.9989333253654201
42,0.9989417571444854
43,0.999025626339692
44,0.999090076994963
45,0.9991448026432268
46,0.9991801843577404
47,0.999189278907543
48,0.9992006217144428
49,0.9992213037292815
50,0.9992799626562577
51,0.9992865492625502
52,0.9993139520889065
53,0.9993394427970506
54,0.9993631357421296
55,0.9994096312433861
56,0.9994205418127313
57,0.9994428549570671
58,0.9994549058732806
59,0.9994711523607479
60,0.9994859533814516
61,0.9994911579300032
62,0.999504465507264
63,0.9995434135107524
64,0.9995556658711371
65,0.9995986570776342
66,0.9996309443818828
67,0.99964034252569
68,0.9996546352848501
69,0.9996599847083967
70,0.9996759293979277
71,0.9996805178979009
72,0.9996884463821374
73,0.9996928258101475
74,0.9997051517120391
75,0.9997267346327352
76,0.9997355232497419
77,0.9997368740315875
78,0.9997514794599403
79,0.9997684256948742
80,0.9997725194796995
81,0.9997820330350489
82,0.9997852170996765
83,0.9997938282411731
84,0.9998045797359071
85,0.999808068730652
86,0.9998177961606822
87,0.9998400050549221
88,0.9998440591583629
89,0.9998503609081656
90,0.9998573195372166
91,0.9998602134746926
92,0.9998638672538954
93,0.999867425184273
94,0.9998885605686181
95,0.9998909773459446
96,0.9998932669793306
97,0.9998969612248823
98,0.9999015572230499
99,0.9999048872865549
100,0.9999090091618981
101,0.9999165504318956
102,0.9999186988102463
103,0.9999211271888288
104,0.9999255529682827
105,0.9999328095994835
106,0.9999356773665575
107,0.9999408875735903
108,0.9999494596700049
109,0.9999504469251184
110,0.9999529027762819
111,0.9999546465749266
112,0.9999589263499038
113,0.9999594532391847
114,0.9999628451002166
115,0.9999661177828112
116,0.9999680558660986
117,0.999972721863484
118,0.999974970314781
119,0.9999797912921385
