Gene_ID,Module,Intramodular_Connectivity,Extramodular_Connectivity,Total_Connectivity,Is_Hub
Zm00001d001763,7,3.37061770298511,4.07438724403613,7.44500494702124,FALSE
Zm00001d001766,3,1.23979208016018,0.803826607327458,2.04361868748764,FALSE
Zm00001d001770,2,4.13899564171579,3.6968669073191,7.83586254903489,FALSE
Zm00001d001774,0,0.0557217705188221,0.440924320545137,0.496646091063959,FALSE
Zm00001d001779,4,1.22361388842313,7.87325856230587,9.096872450729,FALSE
Zm00001d001781,6,2.31228992940708,3.14060151804449,5.45289144745157,FALSE
Zm00001d001784,1,3.90515269527583,4.44729367476469,8.35244637004052,FALSE
Zm00001d001786,2,1.50140331074495,1.28947000589336,2.79087331663831,FALSE
Zm00001d001790,5,1.52216897431642,2.00059719289466,3.52276616721108,FALSE
Zm00001d001791,2,0.105811166822396,0.0526371705404232,0.158448337362819,FALSE
Zm00001d001796,7,0.0555144862693967,0.206695787022695,0.262210273292092,FALSE
Zm00001d001800,3,11.6017924805517,5.57556371298482,17.1773561935365,FALSE
Zm00001d001804,1,0.486548833992649,0.524167944677142,1.01071677866979,FALSE
Zm00001d001806,2,3.01631200844637,0.444389191499572,3.46070119994594,FALSE
Zm00001d001811,3,2.43274086973592,3.79649515373647,6.22923602347239,FALSE
Zm00001d001813,3,6.51439473065544,5.51492970677955,12.029324437435,FALSE
Zm00001d001820,1,3.5215003556589,3.99746751586283,7.51896787152173,FALSE
Zm00001d001824,6,1.17245072532843,1.23375086543565,2.40620159076408,FALSE
Zm00001d001825,2,0.12605517676993,0.272954357468403,0.399009534238333,FALSE
Zm00001d001826,4,1.14975467459473,2.37061427754285,3.52036895213758,FALSE
Zm00001d001827,6,0.964488682139411,2.86309971321711,3.82758839535652,FALSE
Zm00001d001828,1,1.31363772643995,0.998702654238425,2.31234038067837,FALSE
Zm00001d001832,2,1.42930805969646,0.353951256792944,1.7832593164894,FALSE
Zm00001d001834,1,10.1402440689632,6.40437618097853,16.5446202499417,FALSE
Zm00001d001835,1,9.79901642376595,7.56459815953192,17.3636145832979,FALSE
Zm00001d001837,5,0.478123080525638,0.69171320724463,1.16983628777027,FALSE
