Module,Correlation,Pvalue
Module1,0.28481565449434587,0.2235563055018978
Module2,0.037655464860503376,0.8747622659838913
Module3,-0.039248086535393176,0.8695079199903484
Module4,-0.18719292158061843,0.42936893173002083
Module5,-0.03701536708138464,0.8768754987832336
Module6,0.3726001545095553,0.10568278433902492
Module7,0.044957388794740545,0.8507166079110671
Module8,0.44150608079796194,0.05131678559975704
Module9,0.441778348108306,0.051156570428176035
Module10,0.015066755865369348,0.9497305152944001
Module11,0.1310329297079499,0.5818746129219617
Module12,-0.12368302487246004,0.6034024672799897
Module13,0.004289720340209498,0.9856795980935625
Module14,-0.5242805375734226,0.017643960137601788
Module15,-0.199896375097905,0.39812258621917845
