sigma_patient_squared,sigma_patient
1.3269984703508004,1.1519541962902866
1.1869523053052458,1.089473407341935
1.2548195283870727,1.1201872738016052
0.8342405203164799,0.9133676807926148
1.486834405851356,1.2193581942363598
1.7069200868169043,1.3064915180807353
0.8433577957151872,0.9183451397569364
2.506321390063427,1.5831365670918687
2.091151315277263,1.4460813653723856
1.5618418264833898,1.249736702863203
1.373751498469833,1.1720714562132435
0.8238894487384312,0.9076835620073943
0.9662982153514763,0.9830046873496974
1.3343011220147536,1.155119527154984
1.395199484808036,1.181185626736135
1.4395358902114903,1.1998066053374978
1.3446086576189222,1.159572618518962
1.3881698021721032,1.1782061798225738
1.413508231819876,1.188910523050358
2.108695729450129,1.4521348867960335
1.3455569638295655,1.1599814497782133
2.152212669416185,1.4670421498430728
0.8368997537903176,0.9148222525662116
1.9278654445326824,1.3884759430874856
1.282589932387008,1.1325148707134083
1.298482712825664,1.1395098563968913
1.3554855815324292,1.1642532291269065
1.3255168747605308,1.151310937479763
4.021202437850111,2.00529360390196
1.7017431155653355,1.304508764081459
1.3889087675908725,1.1785197357663861
1.4464814571862856,1.2026975751144946
1.861707931638435,1.3644441841418193
1.7912468545644429,1.3383747063376694
1.614219363325061,1.270519328198143
0.8019329491484992,0.8955070905071044
1.7201917863681795,1.3115608206896772
1.4620091571651113,1.2091357066785808
1.0021715850724309,1.0010852037026772
1.6871322364570036,1.298896545709859
1.6060989596504045,1.2673195964911157
1.243105866103222,1.1149465754479997
2.542873580776362,1.5946390126848025
1.1277639035976461,1.0619622891598581
1.8247151393764718,1.350820172849248
2.5004528841942073,1.5812820381558146
3.2009182287742504,1.7891110163358366
1.2556221351130783,1.1205454632066822
2.133432241129708,1.4606273450574956
2.265625151135857,1.5051993725536352
2.34165324394724,1.530246138353971
1.3959764985647198,1.1815144935906288
1.3295523545170609,1.1530621642032406
1.816042834666323,1.3476063351982
1.020873799660926,1.0103829965220743
1.7522906220425358,1.3237411461620945
2.8725619971345764,1.6948634154806035
